Hello,Hello World!
What time is it?,The time is now 0:39 AM EST
what is the date,"Today is Friday, 10/30/2020"
Hello,Hello World!
What is BCG?,"Today is Friday, 10/30/2020"
bcg,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=bcg'>bcg</a>
What is BCG?,"Today is Friday, 10/30/2020"
Hepatitis B Birth dose,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Hepatitis B Birth dose'>Hepatitis B Birth dose</a>
What is your name?,ChatBot.
Who are u?,I am a ChatBot.
Nothing,What did you want to ask?
time/,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time/'>time/</a>
time?,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=time?'>time?</a>
what time is it?,The time is now 0:53 AM EST
got the time?,The time is now 0:53 AM EST
greetings,Hello World!
what is bcg?,"Today is Friday, 10/30/2020"
Hello,Hello World!
What is BCG?,BCG should be given at birth or as early as possible till one year of age. Dosage- 0.1ml (0.05ml until 1 month of age) on the upper left arm
Hello,Hello World!
Hello,Hello World!
opv booster,should be given at 16-24 months. dosage- 2 drops
5-6 years,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=5-6 years'>5-6 years</a>
5 and 6 years,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=5 and 6 years'>5 and 6 years</a>
at birth,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=at birth'>at birth</a>
vaccine at birth,"BCG, Hepatitis B Birth Dose, OPV Birth Dose"
vaccine at months,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=vaccine at months'>vaccine at months</a>
vaccine at 6 weeks,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=vaccine at 6 weeks'>vaccine at 6 weeks</a>
vaccine at 6 weeks to 12 weeks,"OPV 1,2&3, IPV (inactivated polio vaccine), Pentavelant 1,2&3, Rota Virus Vaccine, Measles 1st Dose, Vitamin A First Dose"
measles 2nd dose,should be given at 16-24 months. dosage- 0.5ml on the right upper arm
