HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am a Chatbot.
What is your name?,ChatBot.
How are you?,I am well. How are you?
Hepatitis B Birth dose,should be given at birth or as early as possible within 24 hours. Dosage- 0.5ml on the anterolateral side of mid left thigh
BCG?,BCG should be given at birth or as early as possible till one year of age. Dosage- 0.1ml (0.05ml until 1 month of age) on the upper left arm
OPV Birth dose?,should be given at birth or as early as possible within the first 15 days. Dosage- 2 drops
"OPV 1,2&3?","should be given at 6 weeks, 10 weeks and 14 weeks. dosage - 2 drops"
IPV?,IPV stands for inactivated polio vaccine. should be given at 14 weeks. dosage- 0.5ml on the anterolateral side of mid right thigh
"Pentavelant 1,2&3?","should be given at 6 weeks, 10 weeks and 14 weeks. dosage- 0.5ml on the anterolateral side of mid left thigh"
Rota Virus Vaccine?,"should be given at 6 weeks, 10 weeks and 14 weeks. dosage- 5 drops"
Measles First Dose?,should be given at 9 completed months - 12 months. (should be given up to 5 years if not received at 9-12 months of age). dosage- 0.5ml on the right upper arm
Vitamin A First Dose?,should be given at 9 months along with measles. dosage- 1ml (1 lakh IU)
DPT First Booster?,should be given at 16-24 months. dosage- 0.5ml on the anterolateral side of mid left thigh
OPV Booster?,should be given at 16-24 months. dosage- 2 drops
Measles 2nd Dose?,should be given at 16-24 months. dosage- 0.5ml on the right upper arm
Vitamin A (2nd to 9th dose),"should be given at 16 months along with DPT/OPV booster, then, one dose every 6 months up to 5 years of age. dosage- 2ml (2 lakh UI)"
DPT second booster?,should be given at 5-6 years of age. dosage- 0.5ml on the left upper arm
TT?,should be given at 10 and 16 years of age. dosage- 0.5ml on the upper arm
Vaccine at birth,"These are the vaccines that should be given at birth:<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('BCG?')"";>BCG</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Hepatitis B Birth Dose')"";>Hepatitis B Birth Dose</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('OPV Birth dose?')"";>OPV Birth Dose</a><br>"
Vaccine at 6 weeks to 14 weeks,"These are the vaccines that should be given from 6-14 weeks:<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('OPV 1,2&3?')"";>OPV 1,2&3</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('IPV?')"";>IPV</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Pentavelant 1,2&3?')"";>Pentavelant 1,2&3</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Rota Virus Vaccine?')"";>Rota Virus Vaccine</a><br>"
